id,character,costume
000101,Lathel,Medicinal Herb Tracker
000102,Lathel,Lonely Survivor
000104,Lathel,Dark Knight
000105,Lathel,Promise of Vengeance
000106,Lathel,Pool Party
000103,Lathel,Homunculus
000201,Justia,Knight of Blood
000202,Justia,White Reaper
000203,Justia,Blood Glutton
000204,Justia,Kendo Club
000206,Justia,Pool Party
000301,Scheherazade,Lapis Witch
000303,Scheherazade,Magic School Professor
000304,Scheherazade,Code Name S
000306,Scheherazade,Pool Party
000401,Gray,Sharpshooter of the Mist
000403,Gray,Vanguard
000402,Gray,B-Rank Manager
000406,Gray,Pool Party
000501,Rou,White Cat
000504,Rou,Nature's Claw
000502,Rou,Red Riding Hood
000506,Rou,Stray Cat
000601,Olstein,Fiend Scholar
000604,Olstein,Sage of Blue Clouds
000801,Rubia,"Thorn of the Desert"
000804,Rubia,Empress of the Ocean
000806,Rubia,Maid Name C
001001,Sylvia,Desert Flower
001004,Sylvia,Admiral
001002,Sylvia,The Sword Queen
000701,Eclipse,The Dimension Witch
000706,Eclipse,Nightmare Bunny
000707,Eclipse,Beach Vacation
001101,Teresse,Angel of Destruction
001106,Teresse,Medical Club
001107,Teresse,Beachside Angel
001201,Liatris,Rodev's Star
001206,Liatris,Neon Stalker
001207,Liatris,Maid Name R
060301,Alec,The Destruction
060302,Alec,Sword Breaker
060401,Celia,The Curse
101601,Celia,The Curse
060402,Celia,Descendant of the Great Witch
060403,Celia,Masquerade Bunny
060501,Anastasia,Gentle Maid
060502,Anastasia,Fire Graffiti
060601,Lecliss,Killer Doll
060602,Lecliss,Android Queen
060701,Rafina,Steel Engine
060702,Rafina,Code Name A
060706,Rafina,Game Club
060801,Elise,Lovely Lady
060802,Elise,Code Name O
060901,Seir,Demon's Daughter
060902,Seir,B-Rank Idol
060903,Seir,New Employee
061001,Helena,Top Idol
061002,Helena,B-Rank Idol
061101,Eleaneer,Piercing Magic Bow
061102,Eleaneer,B-Rank Idol
066402,Angelica,Pool Party
066403,Angelica,Neon Savior
066401,Angelica,The Fallen
066902,Glacia,Alice
066906,Glacia,Disciplinary Committee
067002,Ventana,Snow White
067003,Ventana,Comeback Idol
067004,Ventana,Onsen Practitioner
002401,Diana,Adventurer of the Unknown
002406,Diana,Anti-Dystopia
061402,Zenith,Robin Hood
065102,Yuri,Whitebolt
065103,Yuri,Comeback Idol
061302,Dalvi,Bright Moon
061305,Dalvi,Summer Vacation Dalvi
065802,Nartas,Anonymous Sage
067102,Granhildr,Comeback Idol
067101,Granhildr,The Void
066802,Refithea,Pure White Blessing
066801,Refithea,The Gluttonous
003201,Loen,Last Hope
003202,Loen,Track and Field Team Member
003203,Loen,Celebrity Bunny
020101,Roxy,Respected Master
020102,Roxy,Emerging Desire
020001,Eris,Esteemed Adventurer
020002,Eris,Your Very Own Cat
067201,Venaka,DJ
067202,Venaka,Wind Dancer
003302,Nebris,Laid-back Lifeguard
003301,Nebris,Labyrinth Gatekeeper
003303,Nebris,New Employee
003501,SacredJustia,Reclaimed Destiny
067301,Levia,Track and Field Team Captain
067302,Levia,Night of Jealousy
067303,Levia,Overheat
003401,Morpeah,Beach Vacation
003402,Morpeah,Daydream Bunny
003403,Morpeah,Apostle
067401,Michaela,Beachside Justice
067402,Michaela,Queen of Signatures
067403,Michaela,Acting Archbishop
020201,Yomi,Gentle Destroyer
020301,Yozakura,Fist of Conviction
020501,Hikage,Kind Ruthlessness
020401,Yumi,Dancing Snowflake
067502,Luvencia,Deal Snatcher
067503,Luvencia,Wild Dog
003802,Liberta,Onsen Manager
003801,Liberta,Dark Saintess
003701,Blade,Apostle
003703,Blade,Young Lady
067601,Wilhelmina,Iron Monarch
020601,GoblinSlayer,Orcbolg
020701,Priestess,Earth Mother Believer
020801,HighElfArcher,Daughter of Starwind
020901,SwordMaiden,Supreme God Archbishop
001501,Lisianne,Wandering Priest
100301,Lisianne,Wandering Priest
001601,Bernie,Righteous Raider Girl
003001,Layla,Anvil of Creation
060201,Lucrezia,Seductive Wings
061901,Samay,Kind Liberator
101401,Samay,Kind Liberator
061902,Samay,Kind Student
101402,Samay,Kind Student
062101,Kry,Liberated Marauder
062102,Kry,Violent Student
062001,Andrew,Loyal Butler
062002,Andrew,Specialist
062701,Jayden,Beautiful Girl Devotee
062702,Jayden,Manga Research Club
003101,Elpis,Hand of Salvation
001301,Gynt,Lugo Hunter
001401,Fred,Lugo Defense Force
000901,Remnunt,Combat Doctor
060101,Wiggle,Bomb Fanatic
060102,Wiggle,Bomb in the Hoodie
062501,Maria,Archmage
062601,Arines,Priest of Vitality
062801,Emma,Haggard Delinquent
062802,Emma,School Queen
063001,Ingrid,Kardis' Bullet
063301,Cynthia,Warmth Within the Severe Cold
063401,Julie,Healer
064701,Carlson,Mercenary Knight
064801,Lydia,Apprentice Spearman
064901,Rigenette,Little Hunter
103501,Beatrice,Mighty Warrior of the Tribe
